date,close,volume,closecum
2015-01-12,2.11718866189,778830784,19.2200947993
2015-01-13,0.948475655119,848257344,20.1685704544
2015-01-14,-0.821962467399,679730752,19.346607987
2015-01-15,-0.105289208423,641398144,19.2413187786
2015-01-16,3.35490296816,800135616,22.5962217467
2015-01-19,-0.578815593255,1143405952,22.0174061535
2015-01-20,4.34258756553,1165117312,26.359993719
2015-01-21,1.2775361995,1365785728,27.6375299185
2015-01-22,1.24557277713,1174156288,28.8831026956
2015-01-23,-2.68050505809,1010230976,26.2025976375
2015-01-26,2.50411244291,885979648,28.7067100804
2015-01-27,0.223302812408,948571584,28.9300128928
2015-01-28,-0.703227378955,900507840,28.2267855139
2015-01-29,-1.15749390815,704447552,27.0692916057
2015-01-30,-1.79925813908,754211072,25.2700334667
2015-02-02,0.966868581085,705152576,26.2369020477
2015-02-03,3.186944589,1030998464,29.4238466367
2015-02-04,0.390255102216,985442496,29.8141017389
2015-02-05,0.942858979632,1280302976,30.7569607186
2015-02-06,-2.44297507992,961432448,28.3139856387
2015-02-09,-1.27795693272,749294144,27.0360287059
2015-02-10,2.27229502968,618887296,29.3083237356
2015-02-11,1.44019912169,744250432,30.7485228573
2015-02-12,0.900473532655,829570112,31.64899639
2015-02-13,2.05047045269,968709248,33.6994668427
2015-02-16,3.89704013393,1208408320,37.5965069766
2015-02-17,-0.122427803449,933269568,37.4740791731
2015-02-25,-0.927041354459,1107689472,36.5470378187
2015-02-26,0.194112679133,1021613376,36.7411504978
2015-02-27,2.53437056607,1159139840,39.2755210639
2015-03-02,3.05708790878,1574046848,42.3326089727
2015-03-03,-1.27041660082,1607366784,41.0621923718
2015-03-04,2.45108559072,1363917824,43.5132779626
2015-03-05,0.246737654534,1372928128,43.7600156171
2015-03-06,-3.14614058267,1168089984,40.6138750344
2015-03-09,2.20313846791,992417728,42.8170135023
2015-03-10,2.55376330607,1151356160,45.3707768084
2015-03-11,-0.464132297995,1212104960,44.9066445104
2015-03-12,-0.869277331249,1255415168,44.0373671792
2015-03-13,2.52411636107,1145414016,46.5614835402
2015-03-16,3.55715025867,1560905216,50.1186337989
2015-03-17,-0.243154341868,1548866944,49.875479457
2015-03-18,2.12668108252,1461534720,52.0021605396
2015-03-19,0.0439320011416,1317326208,52.0460925407
2015-03-20,1.36857461818,1497005056,53.4146671589
2015-03-23,3.6084662968,1606327936,57.0231334557
2015-03-24,2.80426516873,1979513344,59.8273986244
2015-03-25,1.14696164369,1710589568,60.9743602681
2015-03-26,-3.90878208681,1692000128,57.0655781813
2015-03-27,1.39755448691,1211139968,58.4631326682
2015-03-30,-1.43479394686,1219659392,57.0283387213
2015-03-31,1.95134111861,1286625792,58.9796798399
2015-04-01,2.98641940997,1290399232,61.9660992499
2015-04-02,2.92801099751,1556280448,64.8941102474
2015-04-03,1.40728995182,1490987776,66.3014001992
